
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
.	.	.	.	.	.	. petfn_top_0s_0_1s, 329, 640, 66, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. pecrc_0, 32, 407, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. petmc_top, 36, 142, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. pecar, 10, 10, 0, 0, 0, 0, 0, 5, 0
.	.	.	.	.	. pehst, 231, 55, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. pemgt, 101, 197, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. pemstat, 813, 1671, 606, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. pemstat_cntrl, 66, 194, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. pemstat_eim, 75, 661, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. pemstat_store, 672, 816, 606, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_ladd, 25, 43, 24, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_ladd_0, 25, 43, 24, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc, 19, 21, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc_0, 19, 22, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc_1, 19, 21, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc_10, 19, 22, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc_11, 19, 22, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc_2, 19, 22, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc_3, 19, 22, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc_4, 19, 21, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc_5, 19, 22, 18, 0, 0, 0, 0, 0, 0
